time,pm2_5,pm10,carbon_dioxide,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,date
2022-08-04 07:00:00+00:00,31.0,51.3,,328.0,13.55,43.2,98.0,2022-08-04
2022-08-05 07:00:00+00:00,15.1,22.8,,154.0,5.6,14.2,59.0,2022-08-05
2022-08-06 07:00:00+00:00,17.5,26.9,,150.0,5.15,14.3,56.0,2022-08-06
2022-08-07 07:00:00+00:00,17.7,29.1,,150.0,4.35,11.4,65.0,2022-08-07
2022-08-08 07:00:00+00:00,23.6,38.4,,130.0,4.8,8.0,56.0,2022-08-08
2022-08-09 07:00:00+00:00,25.6,43.2,,107.0,2.45,4.75,55.0,2022-08-09
2022-08-10 07:00:00+00:00,26.6,48.8,,105.0,2.15,4.4,57.0,2022-08-10
2022-08-11 07:00:00+00:00,27.6,52.0,,111.0,2.5,4.0,50.0,2022-08-11
2022-08-12 07:00:00+00:00,22.1,39.9,,97.0,1.55,4.6,48.0,2022-08-12
2022-08-13 07:00:00+00:00,23.4,44.5,,100.0,1.5,4.85,57.0,2022-08-13
2022-08-14 07:00:00+00:00,22.7,42.7,,99.0,1.55,4.95,57.0,2022-08-14
2022-08-15 07:00:00+00:00,22.4,40.9,,87.0,2.5,5.55,44.0,2022-08-15
2022-08-16 07:00:00+00:00,24.2,44.4,,99.0,2.4,4.3,44.0,2022-08-16
2022-08-17 07:00:00+00:00,23.1,43.7,,105.0,2.0,5.5,45.0,2022-08-17
2022-08-18 07:00:00+00:00,26.7,54.2,,98.0,1.65,5.55,47.0,2022-08-18
2022-08-19 07:00:00+00:00,23.9,45.2,,104.0,2.3,6.0,46.0,2022-08-19
2022-08-20 07:00:00+00:00,19.7,34.8,,116.0,3.1,9.5,51.0,2022-08-20
2022-08-21 07:00:00+00:00,23.5,42.4,,111.0,3.4,9.65,47.0,2022-08-21
2022-08-22 07:00:00+00:00,23.1,44.2,,113.0,3.2,8.3,47.0,2022-08-22
2022-08-23 07:00:00+00:00,22.4,43.8,,117.0,3.1,8.35,48.0,2022-08-23
2022-08-24 07:00:00+00:00,22.1,41.6,,117.0,2.2,7.45,53.0,2022-08-24
2022-08-25 07:00:00+00:00,21.5,40.0,,118.0,2.3,7.85,56.0,2022-08-25
2022-08-26 07:00:00+00:00,20.0,38.3,,137.0,3.2,11.6,64.0,2022-08-26
2022-08-27 07:00:00+00:00,24.4,48.0,,166.0,4.5,16.5,75.0,2022-08-27
2022-08-28 07:00:00+00:00,33.2,59.8,,289.0,11.4,29.55,85.0,2022-08-28
2022-08-29 07:00:00+00:00,36.2,61.9,,347.0,15.05,42.0,103.0,2022-08-29
2022-08-30 07:00:00+00:00,31.1,59.8,,295.0,12.35,28.6,87.0,2022-08-30
2022-08-31 07:00:00+00:00,33.3,58.9,,351.0,18.1,37.6,80.0,2022-08-31
2022-09-01 07:00:00+00:00,42.5,63.1,,557.0,38.35,59.5,88.0,2022-09-01
2022-09-02 07:00:00+00:00,50.4,71.9,,625.0,26.85,74.55,187.0,2022-09-02
2022-09-03 07:00:00+00:00,30.7,47.8,,313.0,4.15,18.1,161.0,2022-09-03
2022-09-04 07:00:00+00:00,28.8,45.5,,271.0,11.1,28.15,85.0,2022-09-04
2022-09-05 07:00:00+00:00,21.9,36.1,,213.0,8.85,21.95,60.0,2022-09-05
2022-09-06 07:00:00+00:00,30.5,49.6,,267.0,11.8,30.6,79.0,2022-09-06
2022-09-07 07:00:00+00:00,27.8,45.2,,281.0,15.9,31.45,75.0,2022-09-07
2022-09-08 07:00:00+00:00,28.9,43.2,,406.0,22.5,35.0,103.0,2022-09-08
2022-09-09 07:00:00+00:00,43.8,62.6,,472.0,8.9,47.6,201.0,2022-09-09
2022-09-10 07:00:00+00:00,15.7,22.8,,182.0,2.9,7.55,98.0,2022-09-10
2022-09-11 07:00:00+00:00,13.6,19.6,,188.0,3.85,9.45,92.0,2022-09-11
2022-09-12 07:00:00+00:00,14.2,21.0,,248.0,5.7,10.45,100.0,2022-09-12
2022-09-13 07:00:00+00:00,17.3,29.0,,160.0,3.55,5.65,77.0,2022-09-13
2022-09-14 07:00:00+00:00,16.8,28.9,,119.0,2.0,5.5,57.0,2022-09-14
2022-09-15 07:00:00+00:00,19.6,33.2,,115.0,2.05,4.95,56.0,2022-09-15
2022-09-16 07:00:00+00:00,16.2,27.5,,127.0,2.95,6.55,56.0,2022-09-16
2022-09-17 07:00:00+00:00,20.4,33.2,,128.0,3.25,8.35,55.0,2022-09-17
2022-09-18 07:00:00+00:00,18.5,32.4,,140.0,2.8,10.4,73.0,2022-09-18
2022-09-19 07:00:00+00:00,29.3,53.8,,185.0,5.5,17.5,82.0,2022-09-19
2022-09-20 07:00:00+00:00,31.9,59.0,,241.0,9.0,22.95,87.0,2022-09-20
2022-09-21 07:00:00+00:00,29.2,49.1,,273.0,13.05,27.55,72.0,2022-09-21
2022-09-22 07:00:00+00:00,21.6,38.2,,144.0,5.5,12.5,57.0,2022-09-22
2022-09-23 07:00:00+00:00,15.5,28.1,,105.0,1.75,6.3,55.0,2022-09-23
2022-09-24 07:00:00+00:00,15.1,24.9,,113.0,2.35,7.95,64.0,2022-09-24
2022-09-25 07:00:00+00:00,17.6,28.8,,136.0,3.35,13.0,75.0,2022-09-25
2022-09-26 07:00:00+00:00,21.3,35.5,,173.0,5.25,19.35,81.0,2022-09-26
2022-09-27 07:00:00+00:00,25.7,42.0,,213.0,6.45,25.45,92.0,2022-09-27
2022-09-28 07:00:00+00:00,23.6,38.1,,224.0,6.2,26.5,94.0,2022-09-28
2022-09-29 07:00:00+00:00,30.4,48.7,,315.0,10.1,34.3,133.0,2022-09-29
2022-09-30 07:00:00+00:00,38.3,57.2,,441.0,16.85,44.45,164.0,2022-09-30
2022-10-01 07:00:00+00:00,29.6,47.3,,246.0,10.4,23.1,105.0,2022-10-01
2022-10-02 07:00:00+00:00,25.8,39.9,,283.0,13.1,31.75,86.0,2022-10-02
2022-10-03 07:00:00+00:00,35.3,56.3,,381.0,21.6,42.75,95.0,2022-10-03
2022-10-04 07:00:00+00:00,32.0,52.4,,325.0,15.75,33.7,103.0,2022-10-04
2022-10-05 07:00:00+00:00,34.8,54.9,,362.0,20.1,36.95,100.0,2022-10-05
2022-10-06 07:00:00+00:00,28.6,44.0,,300.0,16.8,30.0,83.0,2022-10-06
2022-10-07 07:00:00+00:00,27.2,43.7,,206.0,9.35,14.35,77.0,2022-10-07
2022-10-08 07:00:00+00:00,20.8,35.0,,150.0,4.4,12.25,83.0,2022-10-08
2022-10-09 07:00:00+00:00,14.8,22.5,,116.0,2.5,8.4,68.0,2022-10-09
2022-10-10 07:00:00+00:00,48.1,73.1,,473.0,16.6,72.1,166.0,2022-10-10
2022-10-11 07:00:00+00:00,33.1,49.1,,370.0,6.75,30.65,163.0,2022-10-11
2022-10-12 07:00:00+00:00,44.4,64.7,,543.0,34.75,58.2,101.0,2022-10-12
2022-10-13 07:00:00+00:00,62.4,89.9,,632.0,19.95,65.35,231.0,2022-10-13
2022-10-14 07:00:00+00:00,37.7,54.1,,326.0,7.7,19.05,133.0,2022-10-14
2022-10-15 07:00:00+00:00,54.7,78.5,,588.0,27.1,61.25,185.0,2022-10-15
2022-10-16 07:00:00+00:00,89.9,129.0,,937.0,58.6,94.95,201.0,2022-10-16
2022-10-17 07:00:00+00:00,34.3,49.1,,318.0,7.05,23.5,157.0,2022-10-17
2022-10-18 07:00:00+00:00,13.6,20.2,,198.0,3.15,6.55,98.0,2022-10-18
2022-10-19 07:00:00+00:00,12.7,18.7,,174.0,2.45,6.9,96.0,2022-10-19
2022-10-20 07:00:00+00:00,28.7,41.4,,291.0,5.9,23.25,146.0,2022-10-20
2022-10-21 07:00:00+00:00,64.3,92.0,,650.0,12.8,70.75,271.0,2022-10-21
2022-10-22 07:00:00+00:00,41.0,58.6,,436.0,11.6,31.6,175.0,2022-10-22
2022-10-23 07:00:00+00:00,61.9,89.4,,741.0,55.45,70.75,151.0,2022-10-23
2022-10-24 07:00:00+00:00,73.1,106.2,,804.0,57.85,88.45,166.0,2022-10-24
2022-10-25 07:00:00+00:00,76.1,112.7,,779.0,33.35,89.1,232.0,2022-10-25
2022-10-26 07:00:00+00:00,63.3,93.8,,709.0,41.95,73.55,193.0,2022-10-26
2022-10-27 07:00:00+00:00,89.9,129.9,,925.0,50.5,101.7,223.0,2022-10-27
2022-10-28 07:00:00+00:00,92.2,133.2,,947.0,58.65,88.65,198.0,2022-10-28
